year,event_id,holiday,last_trade,reopen,notice_close_start,notice_close_end,source_published_at,notice_id,source_url
2024,2024_new_year,元旦,2023-12-29,2024-01-02,2023-12-30,2024-01-01,2023-12-26,上证公告〔2023〕47号,https://www.sse.com.cn/disclosure/announcement/general/c/c_20231226_5733939.shtml
2024,2024_spring_festival,春节,2024-02-08,2024-02-19,2024-02-09,2024-02-17,2023-12-26,上证公告〔2023〕47号,https://www.sse.com.cn/disclosure/announcement/general/c/c_20231226_5733939.shtml
2024,2024_qingming,清明节,2024-04-03,2024-04-08,2024-04-04,2024-04-06,2023-12-26,上证公告〔2023〕47号,https://www.sse.com.cn/disclosure/announcement/general/c/c_20231226_5733939.shtml
2024,2024_labor,劳动节,2024-04-30,2024-05-06,2024-05-01,2024-05-05,2023-12-26,上证公告〔2023〕47号,https://www.sse.com.cn/disclosure/announcement/general/c/c_20231226_5733939.shtml
2024,2024_dragon_boat,端午节,2024-06-07,2024-06-11,2024-06-10,2024-06-10,2023-12-26,上证公告〔2023〕47号,https://www.sse.com.cn/disclosure/announcement/general/c/c_20231226_5733939.shtml
2024,2024_mid_autumn,中秋节,2024-09-13,2024-09-18,2024-09-15,2024-09-17,2023-12-26,上证公告〔2023〕47号,https://www.sse.com.cn/disclosure/announcement/general/c/c_20231226_5733939.shtml
2024,2024_national_day,国庆节,2024-09-30,2024-10-08,2024-10-01,2024-10-07,2023-12-26,上证公告〔2023〕47号,https://www.sse.com.cn/disclosure/announcement/general/c/c_20231226_5733939.shtml
2025,2025_new_year,元旦,2024-12-31,2025-01-02,2025-01-01,2025-01-01,2024-12-23,上证公告〔2024〕38号,https://www.sse.com.cn/disclosure/announcement/general/c/c_20241223_10767108.shtml
2025,2025_spring_festival,春节,2025-01-27,2025-02-05,2025-01-28,2025-02-04,2024-12-23,上证公告〔2024〕38号,https://www.sse.com.cn/disclosure/announcement/general/c/c_20241223_10767108.shtml
2025,2025_qingming,清明节,2025-04-03,2025-04-07,2025-04-04,2025-04-06,2024-12-23,上证公告〔2024〕38号,https://www.sse.com.cn/disclosure/announcement/general/c/c_20241223_10767108.shtml
2025,2025_labor,劳动节,2025-04-30,2025-05-06,2025-05-01,2025-05-05,2024-12-23,上证公告〔2024〕38号,https://www.sse.com.cn/disclosure/announcement/general/c/c_20241223_10767108.shtml
2025,2025_dragon_boat,端午节,2025-05-30,2025-06-03,2025-05-31,2025-06-02,2024-12-23,上证公告〔2024〕38号,https://www.sse.com.cn/disclosure/announcement/general/c/c_20241223_10767108.shtml
2025,2025_national_mid_autumn,国庆节+中秋节,2025-09-30,2025-10-09,2025-10-01,2025-10-08,2024-12-23,上证公告〔2024〕38号,https://www.sse.com.cn/disclosure/announcement/general/c/c_20241223_10767108.shtml
2026,2026_new_year,元旦,2025-12-31,2026-01-05,2026-01-01,2026-01-03,2025-12-22,上证公告〔2025〕45号,https://www.sse.com.cn/disclosure/announcement/general/c/c_20251222_10802507.shtml
2026,2026_spring_festival,春节,2026-02-13,2026-02-24,2026-02-15,2026-02-23,2025-12-22,上证公告〔2025〕45号,https://www.sse.com.cn/disclosure/announcement/general/c/c_20251222_10802507.shtml
2026,2026_qingming,清明节,2026-04-03,2026-04-07,2026-04-04,2026-04-06,2025-12-22,上证公告〔2025〕45号,https://www.sse.com.cn/disclosure/announcement/general/c/c_20251222_10802507.shtml
2026,2026_labor,劳动节,2026-04-30,2026-05-06,2026-05-01,2026-05-05,2025-12-22,上证公告〔2025〕45号,https://www.sse.com.cn/disclosure/announcement/general/c/c_20251222_10802507.shtml
2026,2026_dragon_boat,端午节,2026-06-18,2026-06-22,2026-06-19,2026-06-21,2025-12-22,上证公告〔2025〕45号,https://www.sse.com.cn/disclosure/announcement/general/c/c_20251222_10802507.shtml
2026,2026_mid_autumn,中秋节,2026-09-24,2026-09-28,2026-09-25,2026-09-27,2025-12-22,上证公告〔2025〕45号,https://www.sse.com.cn/disclosure/announcement/general/c/c_20251222_10802507.shtml
2026,2026_national_day,国庆节,2026-09-30,2026-10-08,2026-10-01,2026-10-07,2025-12-22,上证公告〔2025〕45号,https://www.sse.com.cn/disclosure/announcement/general/c/c_20251222_10802507.shtml
