month,status,signal_cluster,resolve_cluster,domestic_event,international_event,causal_assessment,confidence,source_urls
2024-01,strict_toxic,2024-01-23~2024-01-29,2024-01-29~2024-02-02,"救市预期带来短促反弹；恒大于1月29日被香港法院下令清盘；小微盘、量化拥挤和融资盘随后形成强平反馈","美联储议息及全球风险偏好为次要背景","流动性踩踏和地产信用冲击与止损窗直接重合；救市预期更像坏信号的诱发器",high,"https://finance.yahoo.com/news/concerns-grow-over-mounting-margin-060538204.html | https://uk.investing.com/news/stock-market-news/embattled-china-evergrande-ordered-to-liquidate-by-hong-kong-court-3314122 | https://www.investing.com/news/stock-market-news/chinas-quant-funds-conform-as-regulators-crack-down-after-crash-3339301"
2024-05,strict_toxic,2024-05-20~2024-05-24,2024-06-04~2024-06-11,"5月17日地产救助方案先提振风险偏好；5月PMI降至49.5且小企业PMI仅46.7；6月初退市/ST恐慌集中打击小盘股","美国对中国新能源与芯片加征关税形成外部压力","典型的政策利好诱发抄底信号、弱数据和退市恐慌兑现止损",high,"https://uk.finance.yahoo.com/news/china-property-shares-rise-bets-015248173.html | https://www.stats.gov.cn/english/PressRelease/202406/t20240605_1954265.html | https://www.csrc.gov.cn/csrc/c100028/c7485703/content.shtml | https://www.investing.com/news/stock-market-news/china-securities-regulator-seeks-to-ease-market-panic-over-delisting-risks-3473943"
2024-06,strict_toxic,2024-06-13~2024-06-19,2024-06-19~2024-06-25,"地产销售与房价继续走弱；6月20日LPR不变，宽松力度低于脆弱基本面所需","欧盟6月12日预披露对中国电动车反补贴关税；贸易摩擦升温","跨行业大样本扩散，属于国内弱基本面、有限宽松和外贸摩擦的复合冲击",high,"https://www.investing.com/news/economic-indicators/chinas-factory-output-disappoints-property-sector-stuck-in-doldrums-3486097 | https://uk.marketscreener.com/news/latest/China-stocks-down-at-close-after-Beijing-keeps-benchmark-rates-unchanged-47007895/ | https://france.representation.ec.europa.eu/informations/vehicules-electriques-produits-en-chine-la-commission-conclut-provisoirement-des-subventions-2024-06-12_it"
2024-07,legacy_border,2024-07-01~2024-07-05,2024-07-18~2024-07-24,"二季度GDP同比4.7%；三中全会期间市场等待更强短期刺激，政策落差压制风险偏好","7月17日全球芯片股因美国可能收紧对华出口限制及台湾相关言论下跌","月度雷率仅29.9827%，但止损窗与弱增长、政策预期落差和芯片冲击重合",medium_high,"https://www.stats.gov.cn/sj/zxfb/202407/t20240715_1955618.html | https://www.investing.com/news/stock-market-news/chip-stocks-tumble-on-fears-of-tighter-us-curbs-on-sales-to-china-3522746"
2024-08,strict_toxic,2024-08-01~2024-08-07,2024-08-22~2024-08-28,"二季度增长放缓、地产与内需疲弱使A股在全球反弹时仍缺乏修复；PDD业绩指引放大消费担忧","美国弱就业与日本央行加息触发日元套息交易平仓；加拿大8月26日宣布对中国电动车征100%关税","信号窗由全球流动性冲击触发，止损窗由中国基本面缺乏修复及消费/关税消息继续压制",high,"https://www.investing.com/news/economy-news/global-market-rout-has-more-to-do-with-end-of-cheap-funding-than-us-economy-3555218 | https://www.investing.com/news/economy-news/china-stocks-struggle-to-rebound-after-global-markets-slump-3555919 | https://www.investing.com/news/stock-market-news/temuowner-pdd-holdings-misses-quarterly-revenue-estimates-3586529 | https://www.investing.com/news/stock-market-news/trudeau-says-canada-to-impose-100-tariff-on-chinese-evs-3586887"
2024-12,strict_toxic,2024-12-24~2024-12-30,2025-01-02~2025-01-08,"年末交投清淡且政策乐观；12月制造业PMI仅50.1并较11月放缓；年初人民币和股市承压","特朗普关税预期升温；美国国防部1月6日把腾讯、宁德时代等列入中国军工企业名单","薄流动性和政策预期制造坏信号，元旦后弱数据、汇率和中美名单冲击集中兑现",high,"https://www.brecorder.com/news/40339688/china-stocks-close-up-in-thin-trade | https://www.stats.gov.cn/english/PressRelease/202501/t20250107_1958155.html | https://m.investing.com/news/economy-news/china-scrambles-to-shore-up-sliding-yuan-and-stock-markets-3796409?ampMode=1 | https://m.investing.com/news/stock-market-news/us-adds-tencent-catl-to-list-of-chinese-firms-allegedly-aiding-beijings-military-3798096?ampMode=1"
2026-01,strict_toxic,2026-01-13~2026-01-19,2026-01-26~2026-01-30,"监管层打击异常交易、高频优势和投机；1月30日黄金价格急跌并引发跨资产抛售","格陵兰关税威胁、伊朗风险和全球科技估值担忧增加波动","仅7笔止损且5笔来自同一股票002402的重复信号；宏观事件只能解释背景，不能解释成系统性毒月",low,"https://www.investing.com/news/economy-news/china-curbs-flash-boys-access-to-exchange-data-sources-say-4453526 | https://www.brecorder.com/news/amp/40404868 | https://au.investing.com/news/economy-news/trading-day-volatility-surge-tech-wreck-4231272"
2026-02,strict_toxic,2026-02-13~2026-02-27,2026-03-03~2026-03-09,"春节休市把5个真实交易日拉长到两周，节后A股先高开；两会公布4.5%~5%增长目标","美国最高法院关税裁决后特朗普改推临时15%关税；2月底美以对伊朗开战、霍尔木兹受阻、油价飙升","春节不是根因，但长闭市制造信息累积和节后乐观错位；伊朗战争是止损窗的直接外生冲击",high,"https://news.bloomberglaw.com/antitrust/chinese-stocks-climb-at-reopen-on-tariff-relief-ai-buzz | https://apnews.com/article/b1d3cf0b370842c305daf706f3b47405 | https://www.investing.com/news/economy-news/stocks-slide-as-middle-east-conflict-fans-inflation-fears-4536600 | https://english.www.gov.cn/news/202603/05/content_WS69a96bcbc6d00ca5f9a09934.html"
2026-03,strict_toxic,2026-03-12~2026-03-18,2026-03-18~2026-03-24,"高油价和输入性通胀压力压制医药、设备、零售等内需与成长方向","伊朗战争延续；霍尔木兹封锁与美方打击能源设施威胁升级，3月23日中国和香港股市创近一年最大跌幅","跨行业止损与战争升级和油价冲击直接重合，是2026年最强系统性解释之一",high,"https://ca.investing.com/news/economy-news/persistent-iran-war-energy-price-surge-set-to-loom-over-stocks-4526016 | https://www.investing.com/news/commodities-news/trump-threatens-iran-with-power-plant-strikes-over-hormuz-blockade-4574080 | https://www.brecorder.com/news/amp/40412767"
2026-05,strict_toxic,2026-04-30~2026-05-11,2026-05-15~2026-05-21,"中美峰会前风险偏好和AI交易走强，峰会实际突破有限；4月活动数据弱于预期","伊朗和平协议预期先推升风险资产并打压黄金，随后谈判反复、油价与利率预期来回摆动","指数从信号到止损窗仍上涨；14笔止损中贵金属占3笔，属于事件驱动的赛道轮动，不是系统性大盘暴雷",medium,"https://www.investing.com/news/stock-market-news/asia-markets-hit-records-on-ai-euphoria-iran-peace-hopes-4661624 | https://www.sahmcapital.com/news/content/update-4-china-stocks-slide-as-trump-xi-summit-offers-little-to-excite-investors-2026-05-15 | https://economia.uol.com.br/noticias/reuters/2026/05/18/acoes-de-china-e-hong-kong-fecham-em-baixa-com-dados-fracos-e-guerra-no-oriente-medio.amp.htm | https://www.kitco.com/news/off-the-wire/2026-05-12/gold-falls-fading-middle-east-peace-hopes-lift-dollar-oil"
2026-06,strict_toxic,2026-06-08~2026-06-12,2026-06-22~2026-06-26,"6月18日金融板块急跌；6月26日上证跌2.26%、深成指跌3.44%，技术股领跌","全球科技/芯片获利回吐、美联储加息预期和中东局势反复共同压制风险偏好","月内仅15笔止损且信号至止损窗指数仍为正；6月26日是明确的广谱市场冲击，但整月毒性含重复信号和小样本放大",medium,"https://finance.sina.com.cn/jryx/bank/2026-06-18/doc-inicvfct3316091.shtml | https://www.china.org.cn/china/Off_the_Wire/2026-06/26/content_118569687.shtml | https://www.cholasecurities.com/news/foreign-markets/china-markets-fall-as-tech-stocks-lead-broad-sell-off/1707265 | https://www.indopremier.com/ipotnews/newsDetail.php?group_news=IPOTNEWS&jdl=Mainland+China%2C+Hong+Kong+shares+fall+on+Fed+hike+bets%2C+regional+weakness&news_id=219908"
